Label,ROI,Num_Area,Num_IntDen,Num_WeightedMean,Denom_Area,Denom_IntDen,Denom_WeightedMean,RegionRatio,Area,IntDen,PixelRatio
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,13.87,92.78,6.689257390050469
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,13.87,76.74,5.532804614275414
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,13.87,79.41,5.725306416726749
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,13.87,81.05,5.843547224224946
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,9.47,92.78,9.797254487856389
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,9.47,76.74,8.103484688489967
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,9.47,79.41,8.385427666314676
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,9.47,81.05,8.558606124604012
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,10.54,92.78,8.802656546489564
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,10.54,76.74,7.280834914611006
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,10.54,79.41,7.53415559772296
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,10.54,81.05,7.689753320683113
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,7.010000000000001,92.78,13.235378031383737
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,7.010000000000001,76.74,10.9472182596291
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,7.010000000000001,79.41,11.328102710413694
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,2152.59,160.7610156833458,3.892824721065752,7.010000000000001,81.05,11.562054208273892
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,1041.18,77.75802837938761,8.04822947647758,13.87,92.78,6.689257390050469
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,1041.18,77.75802837938761,8.04822947647758,13.87,76.74,5.532804614275414
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,1041.18,77.75802837938761,8.04822947647758,13.87,79.41,5.725306416726749
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,1041.18,77.75802837938761,8.04822947647758,13.87,81.05,5.843547224224946
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,1041.18,77.75802837938761,8.04822947647758,9.47,92.78,9.797254487856389
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,1041.18,77.75802837938761,8.04822947647758,9.47,76.74,8.103484688489967
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,1041.18,77.75802837938761,8.04822947647758,9.47,79.41,8.385427666314676
sample input_ratio,NA,13.42,8398.43,625.8144560357675,13.39,1041.18,77.75802837938761,8.04822947647758,9.47,81.05,8.558606124604012
