...1,Label,exposures,Num_Mean(Cell_1_ROI_1),Num_Mean(Cell_2_ROI_1),Num_Mean(Cell_3_ROI_1),Num_Mean(Cell_4_ROI_1),Num_Mean(Cell_5_ROI_1),Num_Mean(Cell_6_ROI_1),Num_Mean(Cell_7_ROI_1),Num_Mean(Cell_8_ROI_1),Num_Mean(Cell_9_ROI_1),Num_Mean(Cell_10_ROI_1),Num_Mean(Cell_11_ROI_1),Num_Mean(Cell_12_ROI_1),Denom_Mean(Cell_1_ROI_1),Denom_Mean(Cell_2_ROI_1),Denom_Mean(Cell_3_ROI_1),Denom_Mean(Cell_4_ROI_1),Denom_Mean(Cell_5_ROI_1),Denom_Mean(Cell_6_ROI_1),Denom_Mean(Cell_7_ROI_1),Denom_Mean(Cell_8_ROI_1),Denom_Mean(Cell_9_ROI_1),Denom_Mean(Cell_10_ROI_1),Denom_Mean(Cell_11_ROI_1),Denom_Mean(Cell_12_ROI_1),Ratio_Mean(Cell_1_ROI_1),Ratio_Mean(Cell_2_ROI_1),Ratio_Mean(Cell_3_ROI_1),Ratio_Mean(Cell_4_ROI_1),Ratio_Mean(Cell_5_ROI_1),Ratio_Mean(Cell_6_ROI_1),Ratio_Mean(Cell_7_ROI_1),Ratio_Mean(Cell_8_ROI_1),Ratio_Mean(Cell_9_ROI_1),Ratio_Mean(Cell_10_ROI_1),Ratio_Mean(Cell_11_ROI_1),Ratio_Mean(Cell_12_ROI_1)
1,JYY343-SC-timecourse-001_C2_Num,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,JYY343-SC-timecourse-001_C2_Num,14,0.9781847497525169,1.0040818827811773,0.896574554768478,1.0675638328466184,0.9415664534533996,0.9714652600665548,0.9893289324896217,0.9841813287984116,1.003205341780833,0.9251963016941068,0.9666497849297268,0.9506153210064572,0.922662304273279,0.9779681443959413,0.9367550462939177,1.050645702758982,0.9304381071365102,0.9639260388795203,0.9855936150640694,0.9387889310480215,0.979681907450234,0.9331314687156397,0.9478604792028358,0.9589732255108456,1.0838410211778358,1.047019601080646,0.9591175299937454,1.0001129369247275,1.0091872422613144,1.0168764503199494,1.0137065266124383,1.0599613152804641,1.024638391762687,0.9991447630993785,1.0283720930232558,0.9986346907277691
3,JYY343-SC-timecourse-001_C2_Num,27,0.9499484065629058,1.0300493559217616,0.9528991878707406,0.9814898792626532,0.97420252303568,0.9799735577812135,0.9980909320156445,0.9964172302428025,0.9903807926194687,0.8920084996653032,0.9682880772923832,0.9763406856956539,0.9274065900686015,0.9936521582130506,0.9449744403219547,0.9928487905075178,0.9579168888060995,0.9598512768371191,0.9785716007517727,0.9595895904169198,0.9378380014513785,0.900500538156512,0.9647840089407972,0.9727517142418052,1.0306353350739774,1.0639765476806347,1.0250184795587651,0.9719916426675702,1.0186354857232343,1.0272132761409185,1.046499711778646,1.0374944204731438,1.0630669281686689,0.9814128513598267,1.0031893687707643,1.0027899798171673
4,JYY343-SC-timecourse-001_C2_Num,40,0.990122643393888,0.9285896115573444,0.9558857258849764,0.9841122663522672,0.9464193577946883,0.9396227472700028,0.9915195272677996,0.9554818468708869,0.9733167393169625,0.8660415149842334,0.9753347510936844,0.9075785709725189,0.9350462680859084,0.8778111484532737,0.9812454701375907,0.9608913475658841,0.9306420471941916,0.9333695398843507,0.9776905928102598,0.9144204144232077,0.9337540932303167,0.8637196173738035,0.9759120594119379,0.9168393316798049,1.0740934145633885,1.06138989480945,0.9794734747256496,1.0190863402789543,1.0246907135772825,1.0087898178749737,1.0212643310062128,1.0547537568814163,1.046641333660211,1.0198414960944182,1.0018604651162792,0.9982191618188293
5,JYY343-SC-timecourse-001_C2_Num,53,1.0024034264663848,0.8957648052851672,0.9270641297342668,1.009524612863114,0.9491669524018963,0.9744849609400745,0.968375241179892,0.9578053650274481,1.0176127676842701,0.8493591718463991,0.9263170619361136,0.907324498844859,0.9498158242892354,0.8517835490614611,0.9524076401740872,0.997825511088479,0.9269387419735402,0.9687999286634059,0.9539249564744753,0.917806928043103,0.9785306475029539,0.8591034787728362,0.9261722212506026,0.9073811985234336,1.0579634464751957,1.0794389837328273,0.9891397054642634,0.9878592805917896,1.030484940230725,1.0071021728429788,1.023249855889323,1.0484302931111442,1.0443123314537877,0.9931010890016535,1.0140199335548175,1.0125845898136054
6,JYY343-SC-timecourse-001_C2_Num,66,1.0588597795222061,0.9201619564056134,1.0192277902655884,1.1410566738101369,0.8646635353388933,0.9802081361716679,0.9617078009999073,0.9872773867113295,1.0067461078059512,0.8889714977443067,0.972575389177508,0.9336160437831595,1.032728929585042,0.8485501475101982,1.0381019686148205,1.1281197464853694,0.8777135803737937,0.9617373187810987,0.9526895625052973,0.9404834770307372,0.9719656276593448,0.8727861126236246,0.9377218883168182,0.9320216769583827,1.0283144763562517,1.1531873311490488,0.9833968272019106,1.0015246484838218,0.993005167823772,1.0284086913719148,1.0104400179337731,1.0587710162178248,1.0385511154694778,1.0188152118136724,1.035481727574751,1.0163837112667695
7,JYY343-SC-timecourse-001_C2_Num,79,1.0334931350379584,0.948568211879587,1.0265479884046003,1.1489034482205012,0.9146735398522655,0.9970902297524488,1.019440532241271,0.9930758858627478,1.0553736386492585,0.8636997897089416,0.9659323874977369,0.975282013088085,0.9423177776679861,0.8704995183808063,1.0568909718702133,1.097722551846108,0.9362681966988474,0.9866191854889598,0.9592920677404129,0.9200412076913193,0.982438379437827,0.8706514432643011,0.9699399823402196,0.9653105705523257,1.1095445314766463,1.1387020750704144,0.977710809120373,1.0747077757072676,0.9903429555775957,1.0144153013149568,1.0573880740408634,1.1005058771016218,1.0802279970581026,0.994184389075774,0.9959468438538206,1.0247536507182713
8,JYY343-SC-timecourse-001_C2_Num,92,0.9421422919404981,0.952818320206643,0.9911292166116942,1.0690550041264275,0.8791726968839029,1.0081820891400444,0.9975810205643619,0.9651975290740077,0.9795776799124304,0.8862755848183017,1.0356756552367377,0.9052916893696654,0.895351416039481,0.859172164885149,0.9704009104992064,1.0257882468724309,0.8495578087095785,0.9843531362354911,0.9785004513902119,0.8805337920114547,0.9259427054186058,0.8999687299687699,0.9829959348379694,0.9117367534532228,1.0606324340005802,1.1508880841524403,1.0346278501165636,1.0389067705686374,1.0399853839327662,1.027986780113916,1.0211362326266573,1.0973069483707782,1.0639249816131404,0.9862591937966817,1.053887043189369,1.0125252285408999
9,JYY343-SC-timecourse-001_C2_Num,105,0.9288684869493434,0.9295217394369597,0.9438743551803742,1.0151656566040106,0.8353233370087503,1.0129276624487349,0.8807021037833025,0.9032019375807612,1.030949905736803,0.9143187588258743,0.9464532310957011,0.8794436664986799,0.8721073983190878,0.8296318156447877,0.9428784245592466,0.9528222062768276,0.8533091549280696,0.9812536904038466,0.8846775767538317,0.8347538346085877,0.9803130925852428,0.8950268316457068,0.9374569062965223,0.8992599767259207,1.0650420655642587,1.1662355578548027,1.0078467049525217,1.0757242080298155,0.980529310434828,1.0414176218268758,1.0137705758022162,1.0917274215146555,1.0620250061289531,1.0380295341809682,1.0109634551495017,1.004689540543749
10,JYY343-SC-timecourse-001_C2_Num,118,0.9796655641673371,0.9693753582656391,0.8974833313989895,0.9608262691806891,0.8803081934486943,1.0046971987142597,0.986074609281932,0.8252597226536157,1.0718376906040783,0.8971714658045447,0.9744674805038854,0.9128004931742233,0.8926150389120366,0.8379286800334703,0.9047804722620553,0.9323769525607362,0.8553860248068189,0.9771044698942888,0.9323773917654917,0.7606587730140615,0.9956659425876658,0.8910257549699216,0.9643395284753296,0.905553222952583,1.109022338265158,1.195780881761223,1.0063683402513222,1.0308317804506184,1.0462494127472988,1.0255959496519231,1.05777236917953,1.1048207112036899,1.0804731551850943,0.9936142311420263,1.0100996677740866,1.0280185207170842
11,JYY343-SC-timecourse-001_C2_Num,131,0.9634978915665974,1.0415417312697233,0.9413877633250504,1.085200758951774,0.8482995432958839,0.976203922718898,1.0015308731139128,0.9007240830769284,1.1645258725896999,0.9106316444241015,0.9738438110864887,0.8800822948842162,0.8629546065886046,0.9088230253383935,0.9288564556365085,1.0006187413254053,0.8303012638930818,0.9311707723783128,0.9129227069105081,0.8289995403382874,1.0668093085692174,0.8922847183502483,0.9290095593159607,0.8775850107597123,1.1343777197563099,1.204575501523251,1.0144424859271053,1.0846462250832911,1.031946546954116,1.0511215807608467,1.0990200473964005,1.1058622228834993,1.1007599901936749,1.0210388277552882,1.0471096345514952,1.0300368039890775
12,JYY343-SC-timecourse-001_C2_Num,144,0.9914018295529414,1.0174650872337851,0.943639948887622,1.050122493164987,0.9160609114694435,0.9495304528949827,0.9661474469062609,0.9444748445696772,1.1530607087933562,0.8765489422363953,1.0075142826369425,0.9258584368063187,0.8604359831579409,0.8520014920571783,0.8962662135814122,0.9298565514569033,0.8698042121918685,0.859664090044867,0.841225534145084,0.8405614146866285,1.0131948037204446,0.8362371777454598,0.9584976389641303,0.8599064334724881,1.1707571801566579,1.25372190607576,1.087621538636493,1.1277316618668474,1.076890953698387,1.1159552774066521,1.163517581502594,1.146704359470317,1.1364917872027458,1.0620901989851188,1.0484385382059802,1.108571767778701
13,JYY343-SC-timecourse-001_C2_Num,157,0.9387939606433121,1.0437151055368548,0.8899387239862093,1.168929714139293,0.8175970282512522,0.8884597030030258,0.920074100382712,0.8738429600317125,1.0393447771899536,0.9373585607155178,1.0921481590122122,0.864834247961999,0.8405100560121063,0.9731336225186988,0.88202502065475,1.150432797448051,0.8167171699329192,0.8613147355818355,0.8797185051324738,0.8073828346072985,0.9769085273700503,0.8917186292117957,1.0761564810114703,0.8673091899406353,1.1536408471134318,1.0869115364718054,1.0328651845112868,0.9906262352476143,1.0233857075742547,1.0440897264608677,1.0520719912893104,1.1076476714774586,1.0806570237803383,1.0675637151490964,1.014750830564784,1.020657722901579
