...1,Label,exposures,Num_Mean(ROI_1),Denom_Mean(ROI_1),Ratio_Mean(ROI_1)
1,timecourse_C2_Num,1,1,1,1
2,timecourse_C2_Num,14,0.9710844947825323,0.952638609595181,1.0278479525292286
3,timecourse_C2_Num,27,0.9714674372291207,0.9499847898063476,1.0280242053933377
4,timecourse_C2_Num,40,0.9446277638792248,0.9226100725319087,1.034369308501263
