 ,Label,Area,Mean,IntDen,RawIntDen,Slice
56,Masked Denom:ROI_1:c:1/3 z:12/13 - sample input.nd2 (series 1),1.19,129.06,152.98,13035.00,12
57,Masked Denom:ROI_2:c:1/3 z:12/13 - sample input.nd2 (series 1),1.60,206.81,330.09,28126,12
58,Masked Denom:ROI_3:c:1/3 z:12/13 - sample input.nd2 (series 1),2.18,192.27,419.71,35762,12
59,Masked Denom:ROI_4:c:1/3 z:12/13 - sample input.nd2 (series 1),2.82,172.41,485.63,41379,12
60,Masked Denom:ROI_5:c:1/3 z:12/13 - sample input.nd2 (series 1),0.31,130.50,39.82,3393,12
61,Masked Denom:ROI_1:c:1/3 z:13/13 - sample input.nd2 (series 1),0.45,173.08,77.19,6577,13
62,Masked Denom:ROI_2:c:1/3 z:13/13 - sample input.nd2 (series 1),0.61,218.75,133.50,11375,13
63,Masked Denom:ROI_3:c:1/3 z:13/13 - sample input.nd2 (series 1),0.75,207.73,156.03,13295,13
64,Masked Denom:ROI_4:c:1/3 z:13/13 - sample input.nd2 (series 1),1.26,184.61,231.82,19753,13
65,Masked Denom:ROI_5:c:1/3 z:13/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,13
