 ,Label,Area(ROI_1),Mean(ROI_1),IntDen(ROI_1),RawIntDen(ROI_1)
1,timecourse_C2_Num,119.6849,1014.7739,121453.0781,10348664
2,timecourse_C2_Num,112.0681,985.4312,110435.4297,9409882
3,timecourse_C2_Num,108.4065,985.8198,106869.2344,9106017
4,timecourse_C2_Num,102.6323,958.5836,98381.6406,8382814
